FLCSX,HAIAX,DFUSX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
11246.772594068405,12682.055740570606,12505.655718228798,24206.091516394546,14442.769510242291,12746.292442912847,16399.350277281508,9924.389259542735,15547.076610304992,12437.931348041615
11081.778989426672,12376.259158148665,12336.210716203066,24032.21150725969,14213.369019507181,12606.457448296387,16195.56991871705,9763.607243988947,15270.548240983118,12079.283244877055
11131.276314519022,12563.135382534216,12413.658757090721,23958.83937340958,14216.574296802273,12724.779251568973,16244.084801998522,9826.669238585595,15431.857963699604,12122.319414046775
11268.767483664127,12495.18047941491,12413.658757090721,24176.346203508016,14097.84156024311,12692.508715434446,16147.052331074628,9847.687323793243,15524.031072249445,11921.477277879634
11988.936673054042,13230.585283504553,13165.853476067117,26102.82363234424,14805.729499078436,13779.237260805457,17195.338357810615,10413.937388607148,16465.221879718254,12968.6627550012
12116.537116649302,13436.507451835136,13344.373442833517,26607.711894622193,14812.181484985007,14009.804016310112,17470.14334803266,10561.950097549765,16750.96914253777,13234.231991003986
12593.655801238265,13925.574889291176,13801.833327274575,27609.07859317759,15153.876850685114,14657.593940049077,18127.72764380862,10953.132001352773,17337.90686916655,13691.602761629472
12854.400368671122,14174.401241872989,14114.732579623924,28038.142647702152,15559.516745125653,14811.308606272865,18687.167976309796,11164.58204511667,17538.704656722544,14001.433119463445
13386.997872359558,14611.989822898633,14439.337087655465,28477.025859739744,15530.370755667662,15195.588529763872,18922.724576049164,11418.325580171511,18056.140630913713,14311.265982313085
12871.048216068571,14397.48623977989,14181.891270068316,27995.936020151,15073.787291245017,15041.87536177752,18638.09464249193,11217.4450397435,17924.849117631496,14148.973532254957
14079.37807252196,15289.819488798503,14970.754641930076,29469.716615746987,15875.454073103298,15810.438205234406,19601.601657773263,11836.757377757107,18843.876145098486,14753.883463164118
13771.694995570182,14860.809432871452,14532.095344819683,28792.45543294583,15341.81871802844,15316.359951244358,19086.288382910465,11487.058307749578,18395.94531472206,14222.743738650712
14244.612852884407,15409.939068005762,14914.516202960993,29867.6151639726,15748.551834249121,15898.273873158769,19680.874590331572,11847.353000129242,19044.66941081831,14517.820806710235
14831.493381071,16104.930600252097,15679.979600427589,31663.53527144024,16437.87854334271,16557.041382591484,20404.291144739087,12398.393079500156,19755.17648500491,15211.25298128177
15367.09003509821,16602.584268645576,16154.785970446961,30491.12895057483,16823.421424472686,16952.30338648855,21078.15974998183,12779.883853482655,20357.566456295775,15757.147248077461
15515.234112297298,16980.110651992953,16460.02352905227,32790.517126907995,17130.544239888826,16996.219722213296,21167.34686978671,13076.59804002752,20805.49276483603,15830.91494945755
15430.441098628517,16548.190678670566,15985.406824478854,31705.07389214731,16207.239821220102,16784.28055275073,20564.96939846561,12652.74702610588,20332.741575706164,15585.772863716375
